Ghana Mobile MTN,1/1
Ghana Mobile Tigo,1/1
Ghana Mobile Vodafone,1/1
Gibraltar,1/1
Gibraltar Mobile,1/1
Greece,1/1
Greece Athens,1/1
Greece Mobile Cosmote,1/1
Greece Mobile Cyta,1/1
Greece Mobile Vodafone,1/1
Greece Mobile Wind,1/1
Greece Special Services,1/1
Greenland,1/1
Greenland Mobile,1/1
Grenada,1/1
Grenada Mobile,1/1
Grenada Mobile Digicel,1/1
Guadeloupe,1/1
Guadeloupe Mobile,1/1
Guadeloupe Mobile Dauphin Tel,1/1
Guadeloupe Mobile Digicel,1/1
Guadeloupe Mobile Orange,1/1
Guadeloupe Mobile Outremer Tel,1/1
Guam,1/1
Guatemala,1/1
Guatemala Mobile,1/1
Guatemala Mobile Claro,1/1
Guatemala Mobile Movistar,1/1
Guatemala Mobile Tigo,1/1
Guatemala Telgua,1/1
Guinea,1/1
Guinea Bissau,1/1
Guinea Bissau Mobile Guinetel,1/1
Guinea Bissau Mobile MTN,1/1
Guinea Bissau Mobile Orange,1/1
Guinea Mobile,1/1
Guinea Mobile Celcom,1/1
Guinea Mobile Intercel,1/1
Guinea Mobile MTN,1/1
Guinea Mobile Mai,1/1
Guinea Mobile Orange,1/1
Guyana,1/1
Guyana Mobile,1/1
Guyana Mobile Digicel,1/1
Haiti,60/60
Haiti Mobile,60/60
Haiti Mobile Digicel,60/60
Haiti Mobile Haitel,60/60
Honduras,1/1
Honduras Mobile,1/1
Honduras Mobile Claro,1/1
Honduras Mobile Hondutel,1/1
Honduras Mobile Tigo,1/1
Hong Kong,1/1
Hong Kong Mobile,1/1
Hungary,1/1
Hungary Budapest,1/1
Hungary Mobile,1/1
Hungary Mobile Pannon,1/1
Hungary Mobile TMobile,1/1
Hungary Mobile Vodafone,1/1
Iceland,1/1
Iceland Mobile,1/1
Iceland Mobile SIMM,1/1
Iceland Mobile Vodafone,1/1
India,60/60
India Mobile,60/60
India Mobile BSNL,60/60
Indonesia,60/1
Indonesia Jakarta,60/1
Indonesia Mobile,60/1
Indonesia Mobile Excelcom,60/1
Indonesia Mobile Indosat,60/1
Indonesia Mobile Satellite,60/1
Indonesia Mobile Telkomsel,60/1
Indonesia Surabaya,60/1
Inmarsat,60/60
Inmarsat Aero,60/60
Inmarsat B,60/60
Inmarsat B HSD,60/60
Inmarsat BGAN,60/60
Inmarsat BGAN HSD,60/60
Inmarsat M,60/60
Inmarsat M4,60/60
Inmarsat Mini-M,60/60
Int'l Networks - 1 Emnify,60/60
Int'l Networks - 1 Wins Aero,60/60
Int'l Networks - 808,1/1
Int'l Networks - 881,60/60
Int'l Networks - 882,60/60
Int'l Networks - 883,60/60
Int'l Networks - AeroMobile,60/60
Int'l Networks - CTC Tian Tong,60/60
Int'l Networks - DTAG,60/60
Int'l Networks - ELLIPSAT,60/60
Int'l Networks - Ellipso,60/60
Int'l Networks - Global Mobile Satellite System Ellipso,60/60
Int'l Networks - Global Networks,60/60
Int'l Networks - Globalstar,60/60
Int'l Networks - Globalstar TYPE B,60/60
Int'l Networks - Globalstar TYPE C,60/60
Int'l Networks - Inphon,60/60
Int'l Networks - Intermatica,60/60
Int'l Networks - MCP,60/60
Int'l Networks - MTT,60/60
Int'l Networks - MTX Connect,60/60
Int'l Networks - Mobistar,60/60
Int'l Networks - Navita,60/60
Int'l Networks - Onair,60/60
Int'l Networks - Oration TPG,60/60
Int'l Networks - Oration Technologies,60/60
Int'l Networks - SEANET,60/60
Int'l Networks - Special Services DTAG,60/60
Int'l Networks - Special Services GLONET,60/60
Int'l Networks - TPG,60/60
Int'l Networks - Telecom26,60/60
Int'l Networks - Telenor,60/60
Int'l Networks - VODAFO,60/60
Int'l Networks - VOXBON,60/60
Iran,1/1
Iran Mobile,1/1
Iran Mobile MCI,1/1
Iran Mobile MTN,1/1
Iran Teheran,1/1
Iraq,1/1
Iraq Baghdad,1/1
Iraq Mobile,1/1
Iraq Mobile Asiacell,1/1
Iraq Mobile Korek,1/1
Iraq Mobile Zain,1/1
Ireland,1/1
Ireland Mobile,1/1
Ireland Mobile H3G,1/1
Ireland Mobile Meteor,1/1
Ireland Mobile O2,1/1
Ireland Mobile Vodafone,1/1
Ireland Special Services,1/1
Iridium,60/60
Israel,1/1
Israel Mobile,1/1
Israel Palestine,1/1
Israel Palestine Mobile,1/1
Italy,1/1
Italy Mobile,1/1
Italy Mobile H3G,1/1
Italy Mobile Postemobile,1/1
Italy Mobile TIM,1/1
Italy Mobile Vodafone,1/1
Italy Mobile Wind,1/1
Ivory Coast,1/1
Ivory Coast Mobile,1/1
Ivory Coast Mobile MTN,1/1
Ivory Coast Mobile Moov,1/1
Ivory Coast Mobile Orange,1/1
Ivory Coast Mobile Oricel,1/1
Ivory Coast Special Services,1/1
Jamaica,1/1
Jamaica Mobile,1/1
Jamaica Mobile Centennial,1/1
Jamaica Mobile Digicel,1/1
Japan,1/1
Japan IP Phone,1/1
Japan Mobile,1/1
Jordan,1/1
Jordan Mobile,1/1
Jordan Mobile Fastlink,1/1
Jordan Mobile Mobilecom,1/1
Jordan Mobile Umniah,1/1
Kazakhstan,1/1
Kazakhstan Mobile Altel,1/1
Kazakhstan Mobile K-Cell,1/1
Kazakhstan Mobile KarTel,1/1
Kazakhstan Mobile Neo,1/1
Kazakhstan OLO,1/1
Kazakhstan Special Services,1/1
Kenya,1/1
Kenya Mobile,1/1
Kenya Mobile Airtel,1/1
Kenya Mobile Safaricom,1/1
Kenya Mobile Telkom,1/1
Kenya Nairobi,1/1
Kiribati,60/60
Kiribati Mobile Oceanlink,60/60
Kosovo,1/1
Kosovo Mobile,1/1
Kosovo Mobile Ipko,1/1
Kuwait,1/1
Kuwait Mobile,1/1
Kuwait Mobile Zain,1/1
Kyrgyzstan,1/1
